Timestamp,Region,SubstationID,Temperature,Humidity,WindSpeed,CustomerCount,ResidentialLoadMW,CommercialLoadMW,IndustrialLoadMW,ActualDemandMW,ForecastedDemandMW,ForecastErrorMW,PeakDemandEvent,DemandResponseEvent
1/1/2023 0:00,West,1044,130.4,95.9,3.6,44981,246.52,86.68,166.38,506.51,556.46,-49.95,0,0
1/1/2023 1:00,Central,1053,77.1,44,15.4,25573,291.43,315.51,212.17,817.96,,1.36,0,1
1/1/2023 2:00,East,1065,76.3,89.1,16.2,39287,493.33,175.54,183.42,860.01,895.48,-35.47,0,0
1/1/2023 3:00,Central,1085,51.9,9.3,0.6,44003,339.78,140.36,96.53,565.12,537.17,27.95,0,0
1/1/2023 4:00,Central,1045,53,73.3,13.5,43305,301.84,120.78,111.51,537.63,525.22,12.41,0,0
1/1/2023 5:00,South,1032,73.6,82.3,13.4,41420,454.46,222.47,182.19,841.14,886.84,-45.7,0,0
1/1/2023 6:00,East,1078,80,85.1,13.9,41767,232.32,313.97,282.86,828.96,785.02,43.94,0,0
1/1/2023 7:00,East,1049,85.5,56.5,5.8,23003,358.69,246.88,109.11,690.1,692.55,-2.45,0,1
1/1/2023 8:00,East,1021,78.6,66.3,14.4,41351,249.78,31.29,149.75,400.57,358.59,41.98,0,1
1/1/2023 9:00,Central,1039,57.2,40.7,5.7,17623,601.12,265.07,129.51,966.21,972.88,-6.67,1,0
1/1/2023 10:00,West,1038,37.4,55.5,15.5,39173,342.45,110.66,234.88,677.15,708.18,-31.03,0,0
1/1/2023 11:00,East,1040,73.5,51.7,14.2,23478,439.19,261.04,210.65,910.06,877.35,32.71,0,0
1/1/2023 12:00,Central,1074,67,50.6,10.4,7204,212.31,260.54,194.3,647.37,649.85,-2.48,0,0
1/1/2023 13:00,South,1067,56.1,77.7,14.1,44455,491.22,287.44,188.23,962.35,942.95,19.4,1,0
1/1/2023 14:00,West,1006,87.4,59.3,7.3,7500,283.7,213.53,167.76,674.63,653.88,20.75,0,0
1/1/2023 15:00,South,1084,51.4,88.9,9.2,14860,311.12,157.14,248.84,707.02,717.02,-10,0,1
1/1/2023 16:00,West,1070,84.3,60,17.8,33067,686.09,266.7,167.62,1140.05,1141.88,-1.83,1,0
1/1/2023 17:00,Central,1003,53.8,98.8,17.6,22231,392.25,381.24,229.41,1033.11,1021.93,11.18,1,0
1/1/2023 18:00,North,1075,77,79.5,6.5,36030,466.08,118.23,216.58,785.39,781.25,4.14,0,0
1/1/2023 19:00,West,1090,89,53.3,8.9,31030,141.32,118.54,100.92,357.76,406,-48.24,0,0
1/1/2023 20:00,South,1058,69.9,58.5,9.2,22715,252.14,185.99,246.2,712.25,660.32,51.93,0,0
1/1/2023 21:00,Central,1080,100.3,38.2,12.3,17100,372.61,214.95,211.2,784.54,810.52,-25.98,0,0
1/1/2023 22:00,West,1083,103.8,58.2,11.3,10149,414.62,113.46,136.35,670.29,648.71,21.58,0,0
1/1/2023 23:00,North,1094,78.6,35.3,18.5,24109,307.7,271.37,278.26,899.96,893.27,6.69,0,1
1/2/2023 0:00,North,1025,83.1,81.6,19.7,31700,134.22,276.95,268.94,700.72,733.99,-33.27,0,1
1/2/2023 1:00,East,1030,90.9,48.1,21,18536,326.56,178.27,108.55,634.02,650.31,-16.29,0,0
1/2/2023 2:00,East,1098,83.2,62.1,22.8,6479,351.59,283.27,162.88,790.45,798.42,-7.97,0,0
1/2/2023 3:00,South,1072,81.6,9.4,4.1,39725,271.64,376.42,113.41,760.78,827.2,-66.42,0,0
1/2/2023 4:00,West,1068,67.1,49.7,11.1,44206,441.04,174.42,182.28,819.54,829.16,-9.62,0,1
1/2/2023 5:00,West,1051,49.7,47.6,8.5,39099,545.8,52.95,230.05,827.38,831.38,-4,0,0
1/2/2023 6:00,East,1071,54.1,73.4,7.5,8850,280.55,186.3,96.69,580.82,595.34,-14.52,0,0
1/2/2023 7:00,West,1020,110.7,65.4,19,12699,440.43,307.06,211.78,984.92,1015.19,-30.27,1,0
1/2/2023 8:00,West,1015,79.8,75.4,14.1,41881,360.65,151.86,243.9,741.44,725.41,16.03,0,0
1/2/2023 9:00,North,1050,71.3,63.9,4.1,9915,289.94,109.27,166.59,577.12,568.43,8.69,0,0
1/2/2023 10:00,East,1015,93.9,79.6,25,37613,284.57,311.92,122.15,758.02,713.1,44.92,0,0
1/2/2023 11:00,Central,1017,63.8,63.4,2.9,24868,294.55,128.83,254.13,709.38,684.11,25.27,0,1
1/2/2023 12:00,East,1046,83.7,27.5,10.2,12710,398.29,184.45,159.8,732.01,765.63,-33.62,0,0
1/2/2023 13:00,Central,1055,76.2,53.2,12.4,11517,562.26,383.53,230.3,1144.58,1207.95,-63.37,1,0
1/2/2023 14:00,North,1027,81.9,54.2,6.3,26080,390.48,210.9,172.71,796.49,770.1,26.39,0,1
1/2/2023 15:00,South,1081,70,-10.3,14.8,48762,402.86,251.31,175.7,820.91,811.01,9.9,0,0
1/2/2023 16:00,West,1077,60.5,34.7,8.9,23176,162.35,212.19,122.02,513.81,500.76,13.05,0,0
1/2/2023 17:00,North,1055,62.7,95.8,16.1,42509,303.3,170.18,135.52,598.58,567.58,31,0,0
1/2/2023 18:00,West,1036,63.2,49.5,14,23704,352.9,186.08,184.42,740.29,805.7,-65.41,0,0
1/2/2023 19:00,South,1015,75,52.9,-0.5,16387,367.42,178.97,202.87,769.66,716.62,53.04,0,0
1/2/2023 20:00,South,1084,51.7,11.4,4.2,49552,423.56,222.73,193.16,780.61,806.58,-25.97,0,0
1/2/2023 21:00,North,1064,56.3,28.1,16.2,38856,236.64,295.31,155.94,706.52,696.11,10.41,0,0
1/2/2023 22:00,South,1059,77,64.7,14,31382,374.98,202.24,304.98,914.78,882.34,32.44,0,0
1/2/2023 23:00,Central,1060,73.1,45.7,6.9,27522,424.79,275.88,192.43,921.48,,7.12,0,1
1/3/2023 0:00,South,1010,77.9,32.8,8.7,31000,199.29,288.65,221.94,690.35,712.32,-21.97,0,1
1/3/2023 1:00,West,1074,74.3,80.9,11.6,31935,331.74,269.86,230.09,841.41,837.8,3.61,0,0
